,company_name,budget,original_language,popularity,release_date,revenue,runtime,vote_average,vote_count,country,belongs_to_collection,country_of_company,genre,year
2343,Radio Silence Productions,35000000,en,62.071,2023-03-08,168961389,123,7.0,2684,US,Scream Collection,US,"Horror,Crime,Thriller",2023
2344,The Stone Quarry,83000000,en,90.713,2024-04-19,0,123,6.112,1214,US,Rebel Moon Collection,US,"Science Fiction,Action",2024
2345,Picturestart,0,en,35.917,2024-09-12,0,96,6.5,40,CA,False,US,"Drama,Thriller",2024
2346,Andromeda Motion Pictures,0,en,60.841,2022-03-01,0,84,5.0,81,US,False,US,"Science Fiction,Action",2022
2347,Studio & New,0,ko,56.908,2024-11-20,0,113,3.5,27,KR,False,KR,"Mystery,Thriller",2024
2348,Climax Studios,0,ko,439.407,2022-01-27,0,74,5.333,18,KR,False,KR,"Comedy,Drama,Romance",2022
2349,Ashland Hill Media Finance,0,en,50.876,2023-09-29,0,99,6.1,501,US,False,US,"Thriller,Science Fiction,Action",2023
2350,Playtone,50000000,en,79.602,2022-12-28,108961677,126,7.763,2880,US,False,US,"Comedy,Drama",2022
2351,Pascal Pictures,55000000,en,116.703,2024-04-18,94182533,132,7.0,1931,US,False,US,"Romance,Drama",2024
2352,Archimede,13272819,it,41.075,2023-09-07,0,121,7.818,683,IT,False,IT,"Adventure,Drama",2023
2353,M-Line Distribution,0,ko,44.209,2022-07-13,595112,95,7.702,374,KR,False,KR,"Action,Crime,Thriller",2022
2354,Spooky Pictures,2000000,en,172.975,2024-03-19,15469415,93,7.176,1318,US,False,US,Horror,2024
2355,Dania Film,0,es,83.759,2022-03-20,0,0,2.0,1,IT,False,IT,"Documentary,Romance,Drama",2022
2356,Highland Film Group,0,en,38.799,2023-09-29,7807,100,6.5,281,US,False,US,"Action,Thriller",2023
2357,Tornasol Media,0,es,34.224,2022-11-04,0,107,6.4,76,ES,False,ES,"Drama,Thriller",2022
2358,Miramax,40000000,en,97.449,2024-10-30,15397270,105,6.746,268,US,False,US,Drama,2024
2359,Universal Pictures,72000000,en,207.451,2023-12-06,298776052,83,7.425,1899,US,False,US,"Animation,Adventure,Comedy,Family",2023
2360,TOHO,15000000,ja,127.426,2023-11-03,115857413,124,7.566,2472,JP,False,JP,"Science Fiction,Horror,Action",2023
2361,Luminaire Artisans,0,en,34.352,2022-01-18,0,102,5.6,30,AE,False,AE,"Action,Comedy",2022
2362,Untitled Entertainment,0,en,34.737,2022-06-04,0,85,7.1,38,US,False,US,"Thriller,Action,Drama,TV Movie",2022
2363,SSS Entertainment,0,en,205.26,2022-09-09,0,88,5.1,112,US,False,US,"Horror,Thriller,Comedy,Mystery",2022
2364,StudioCanal,15200000,fr,32.94,2023-10-04,9138503,127,7.0,732,BE,False,FR,"Adventure,Drama,Science Fiction",2023
2365,China Film Group Corporation,0,zh,67.009,2023-04-27,0,90,5.737,19,CN,False,CN,"Fantasy,Adventure",2023
2366,EuropaCorp,22700000,fr,119.392,2023-09-27,4082217,115,7.906,1123,FR,False,FR,"Action,Drama,Crime",2023
2367,China Film Group Corporation,0,zh,55.719,2022-06-18,0,106,5.849,116,CN,False,CN,Drama,2022
2368,Foresight Unlimited,20000000,en,36.955,2023-12-08,0,90,6.281,176,US,False,US,"Action,Crime,Drama",2023
2370,20th Century Studios,80000000,en,523.112,2024-08-13,350865342,119,7.2,3145,US,False,US,"Horror,Science Fiction",2024
2371,Indian Paintbrush,3000000,en,128.394,2024-09-13,5705895,89,6.9,239,US,False,US,"Comedy,Drama",2024
2372,Film4 Productions,10000000,en,71.657,2024-03-07,12778225,104,6.558,677,US,False,GB,"Romance,Crime,Thriller",2024
2373,Carnival Films,0,en,33.026,2023-04-14,0,111,7.252,698,GB,The Last Kingdom Collection,GB,"Action,Adventure,War",2023
2374,A24,1000000,en,47.28,2022-09-16,10139416,102,7.2,2047,US,X Collection,US,"Horror,Thriller",2022
2375,Juggernaut Productions,0,en,115.686,2024-08-29,0,94,6.5,127,US,False,IN,"Action,Thriller",2024
2376,EON Productions,0,en,40.055,2022-03-14,0,75,5.7,33,GB,False,GB,"Fantasy,Horror",2022
2377,Happy Hours Entertainments,0,ml,36.356,2024-11-22,0,142,7.7,12,IN,False,IN,"Mystery,Thriller,Comedy",2024
2378,Warner Bros. Pictures,150000000,en,84.061,2025-04-02,0,700,0.0,0,US,False,US,"Adventure,Fantasy,Family,Comedy",2025
2379,Skydance Media,0,en,39.403,2025-02-13,0,127,0.0,0,US,False,US,"Action,Romance,Horror",2025
2380,TSC TSC  CINEMA,120000,pt,45.975,2023-05-18,0,104,7.4,73,BR,False,BR,"Action,Comedy,Fantasy",2023
2381,Twisted Pictures,13000000,en,84.339,2023-09-27,125319714,118,7.224,2008,US,Saw Collection,US,"Horror,Mystery,Thriller",2023
2382,Proportion Productions,10000,en,38.802,2022-04-12,100,77,5.5,41,GB,False,GB,"Action,Horror,Fantasy",2022
2383,Big Punch Pictures,0,ko,83.988,2023-05-31,83410298,105,7.186,448,KR,The Roundup Collection,KR,"Action,Crime,Comedy,Thriller,Drama",2023
2384,Genre Films,0,en,66.349,2024-01-12,0,107,6.465,1257,US,False,US,"Action,Comedy,Crime",2024
2385,These Pictures,100000000,en,54.345,2024-07-10,42247783,132,6.867,766,US,False,US,"Romance,Comedy",2024
2386,Moana Films,3700000,fr,48.542,2023-10-11,4710394,119,6.845,190,FR,False,FR,"History,Drama",2023
2387,Great Pacific Media,0,en,593.043,2025-02-06,0,99,0.0,0,US,False,CA,"Comedy,Romance",2025
2388,Davis Films,50000000,en,242.194,2024-08-21,24109036,111,5.864,915,US,False,FR,"Action,Fantasy,Horror",2024
2389,Yale Productions,50000000,en,36.673,2023-09-14,476375,98,5.9,231,US,False,US,"Comedy,Crime",2023
2390,France 2 Cinéma,4920000,fr,81.71,2023-06-28,1500000,99,6.6,172,FR,False,FR,"Action,Crime,Drama",2023
2391,Mai Juin Productions,0,fr,72.279,2024-02-01,21719459,100,6.5,119,CA,False,FR,"Adventure,Family",2024
2392,3dot Productions,0,en,42.088,2024-10-10,0,96,6.1,154,US,False,US,"Romance,Drama",2024
2393,Trésor Films,37315205,fr,35.167,2024-10-16,35754656,166,7.374,528,BE,False,FR,"Romance,Crime,Drama",2024
2394,China Film Group Corporation,0,zh,51.712,1987-05-26,0,0,6.0,1,CN,False,CN,Drama,1987
2395,Shuuder Production,0,mn,37.567,2021-12-03,0,108,7.355,107,MN,False,MN,"History,Action,Drama",2021
2396,オムニクエスト,0,ja,34.039,2005-08-01,0,0,5.5,2,JP,False,JP,,2005
2397,Climax Studios,0,ko,42.027,2023-10-05,0,93,6.999,523,KR,False,KR,"Action,Thriller",2023
2398,Annapurna Pictures,0,en,32.417,2023-06-23,0,99,7.9,1127,US,False,US,"Animation,Family,Action,Science Fiction,Adventure,Fantasy,Drama",2023
2399,TOHO,0,ja,34.376,2022-07-15,34963395,134,7.15,107,JP,Kingdom Collection,JP,"Action,Adventure,War",2022
